InternalId;LoadDate;CustomerName;DeliveryCity;DeliveryAddress;DeliveryDate;DeliveryTime;PackageType;Comment
1;2024-09-08 10:55:00.000;"OOO ""Моя Оборона""";Набережные Челны; Московский пр-кт 115 201;10.09.2024;10:55:00;Письмо;NULL
2;2024-09-08 12:00:00.000;"ПАО ""Альто""";Набережные Челны; автозаводский проспект 36 10 п 346 ;10.09.2024;12:00:00;Бандероль;NULL
3;2024-09-05 12:00:00.000;ИП М.А.Н;Набережные Челны; автозаводский проспект 36 10 п 346 ;10.09.2024;12:00:00;Бандероль;NULL
4;2024-09-04 11:00:00.000;"OOO ""Би-Ван Кеноби""";Набережные Челны; ул. проспект Сююмбике д.36 магазин Момбини вход между 5 и 6 подъездом;09.09.2024;11:00:00;Письмо;NULL
5;2024-09-02 11:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; ул. проспект Сююмбике д.36 магазин Момбини вход между 5 и 6 подъездом;09.09.2024;11:00:00;Бандероль;NULL
6;2024-09-04 18:00:00.000;OOO РиК;Нижнекамск; ПР-КТ. ШИННИКОВ 19, 37;09.09.2024;18:00:00;Бандероль;NULL
7;2024-09-06 11:00:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; ул шевченко д 100 ;07.09.2024;11:00:00;Письмо;NULL
8;2024-08-30 10:00:00.000;ИП М.А.Н;Набережные Челны; АВТОЗАВОДСКИЙ, д 59;04.09.2024;10:00:00;Письмо;NULL
9;2024-08-07 13:00:00.000;"OOO ""Моя Оборона""";Альметьевск; ул. Сахредина 41 ;12.08.2024;13:00:00;Письмо;NULL
10;2024-08-30 18:30:00.000;"ЗАО ""Чное обучение""";Нижнекамск; ПР-КТ. ХИМИКОВ д. 14;05.09.2024;18:30:00;Бандероль;NULL
11;2024-09-02 11:00:00.000;OOO РиК;Альметьевск; ул шевченко д 100 ;07.09.2024;11:00:00;Письмо;NULL
12;2024-08-31 13:00:00.000;"OOO ""Би-Ван Кеноби""";Нижнекамск; ул. Гагарина, д8;06.09.2024;13:00:00;Бандероль;NULL
13;2024-08-30 10:00:00.000;"ПАО ""Альто""";Набережные Челны; Аделя Кутуя 6;04.09.2024;10:00:00;Письмо;NULL
14;2024-09-03 18:30:00.000;ИП М.А.Н;Нижнекамск; ПР-КТ. ХИМИКОВ д. 14;05.09.2024;18:30:00;Письмо;NULL
15;2024-08-30 11:02:00.000;OOO РиК;Набережные Челны; Назипа Зиатдинова, 7;05.09.2024;11:02:00;Письмо;NULL
16;2024-08-30 10:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; Бульва Галиаскара Камала 18 а ;04.09.2024;10:00:00;Бандероль;NULL
17;2024-08-29 10:00:00.000;ИП М.А.Н;Набережные Челны; АВТОЗАВОДСКИЙ, д 59;04.09.2024;10:00:00;Письмо;NULL
18;2024-08-28 10:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; Бульва Галиаскара Камала 18 а ;04.09.2024;10:00:00;Письмо;NULL
19;2024-08-28 16:55:00.000;ИП М.А.Н;Набережные Челны; пр-кт Мира 69 36 ;03.09.2024;16:55:00;Письмо;NULL
20;2024-08-27 17:00:00.000;"ПАО ""Альто""";Нижнекамск;  УЛ. БЕРЕГОВАЯ д 46А;02.09.2024;17:00:00;Бандероль;NULL
21;2024-09-03 10:00:00.000;OOO РиК;Набережные Челны; Аделя Кутуя 6;04.09.2024;10:00:00;Письмо;NULL
22;2024-08-31 18:00:00.000;ИП М.А.Н;Набережные Челны; ТРАКТ. САРМАНОВСКИЙ 27А 68;03.09.2024;18:00:00;Письмо;NULL
23;2024-08-29 17:00:00.000;"ЗАО ""Чное обучение""";Нижнекамск;  УЛ. БЕРЕГОВАЯ д 46А;02.09.2024;17:00:00;Письмо;NULL
24;2024-08-26 17:50:00.000;ИП М.А.Н;Набережные Челны; улица В. Полякова 9В ,кв.1;29.08.2024;17:50:00;Бандероль;NULL
25;2024-08-24 10:00:00.000;"ПАО ""Альто""";Набережные Челны; Набережные челный Шамиля Усманова, 18е 1п ;27.08.2024;10:00:00;Бандероль;NULL
26;2024-08-25 17:50:00.000;"OOO ""Моя Оборона""";Набережные Челны; улица В. Полякова 9В ,кв.1;29.08.2024;17:50:00;Бандероль;NULL
27;2024-08-20 18:00:00.000;"ЗАО ""Чное обучение""";Набережные Челны; ПР-КТ. АВТОЗАВОДСКИЙ,д.5,кв.138;25.08.2024;18:00:00;Письмо;NULL
28;2024-08-23 10:00:00.000;"OOO ""Моя Оборона""";Набережные Челны; Набережные челный Шамиля Усманова, 18е 1п ;27.08.2024;10:00:00;Письмо;NULL
29;2024-08-21 08:00:00.000;OOO РиК;Альметьевск; Сургутская 5;26.08.2024;08:00:00;Письмо;NULL
30;2024-08-20 08:00:00.000;"OOO ""Би-Ван Кеноби""";Альметьевск; Сургутская 5;26.08.2024;08:00:00;Бандероль;NULL
